student_id,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,military_education,graduation_status,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_credits,year1_points,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_credits,year2_points,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_credits,year3_points,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_credits,year4_points,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,total_credits_all_years,total_points_all_years,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,delayed_progression
210955,2.36,101.0,100.0,1,0,,,1.97,2.28,13,12,1,35.0,74.5,2.115,4.0,0.0,2.6,,6,6,0,18.0,46.8,2.6,3.2,2.0,2.73,1.68,12,11,1,36.0,79.4,2.208,3.4,0.0,,,0,0,0,0.0,0.0,,,,31,29,2,89.0,200.7,2.245,4.0,0.0,5,2.252,3,0,0.0
210964,2.39,100.0,100.0,1,0,,,2.09,2.19,13,13,0,35.0,74.9,2.146,3.2,1.0,1.6,,6,5,1,18.0,28.8,1.6,2.2,0.0,2.73,2.65,12,12,0,36.0,96.9,2.692,3.7,1.5,,,0,0,0,0.0,0.0,,,,31,30,1,89.0,200.6,2.252,3.7,0.0,5,2.252,3,0,0.0
211035,2.52,111.0,170.0,0,0,,,2.04,3.0,13,13,0,35.0,88.7,2.562,4.0,1.0,1.71,,6,6,0,17.0,29.0,1.667,2.6,1.0,2.55,2.42,12,12,0,36.0,89.5,2.492,3.7,1.0,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,207.2,2.361,4.0,1.0,5,2.344,3,0,0.0
211373,2.09,100.0,100.0,2,0,,,1.32,2.08,12,9,3,32.0,53.6,1.8,3.2,0.0,2.14,,5,5,0,15.0,32.1,2.14,2.8,1.5,2.2,1.68,12,11,1,36.0,69.9,1.942,3.4,0.0,,,0,0,0,0.0,0.0,,,,29,25,4,83.0,155.6,1.917,3.4,0.0,5,1.884,3,0,0.0
211411,2.43,109.0,100.0,1,0,,,1.92,2.12,11,11,0,32.0,64.5,2.045,3.4,1.0,2.5,,6,6,0,18.0,45.0,2.5,3.0,2.0,2.73,2.26,12,12,0,36.0,89.8,2.5,3.0,1.0,,,0,0,0,0.0,0.0,,,,29,29,0,86.0,199.3,2.328,3.4,1.0,5,2.306,3,0,0.0
211633,2.34,106.0,130.0,0,0,,,2.11,2.54,13,13,0,35.0,81.6,2.315,3.2,1.0,2.23,,6,6,0,18.0,40.2,2.233,2.8,1.0,2.54,2.38,12,12,0,36.0,88.7,2.467,3.7,1.5,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,210.5,2.358,3.7,1.0,5,2.36,3,0,0.0
211816,2.03,103.0,140.0,3,0,,,2.11,1.78,13,11,2,35.0,67.9,1.885,3.0,0.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,1.82,2.15,12,11,1,36.0,71.4,1.983,3.2,0.0,,,0,0,0,0.0,0.0,,,,31,27,4,89.0,160.3,1.784,3.2,0.0,5,1.806,3,0,0.0
211930,2.28,111.0,110.0,0,0,,,2.04,2.46,13,13,0,35.0,78.9,2.285,3.4,1.5,1.98,,6,6,0,17.0,33.6,1.95,3.0,1.5,2.08,2.57,12,12,0,36.0,83.7,2.325,3.2,1.0,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,196.2,2.235,3.4,1.0,5,2.226,3,0,0.0
211943,2.23,91.0,70.0,3,0,,,2.01,1.63,13,12,1,35.0,63.4,1.846,2.8,0.0,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,2.63,2.73,11,11,0,33.0,88.6,2.691,3.7,1.5,,,0,0,0,0.0,0.0,,,,29,28,1,83.0,179.6,2.166,3.7,0.0,5,2.168,3,0,0.0
212157,2.39,104.0,130.0,1,0,,,1.57,2.8,11,10,1,32.0,68.7,2.082,4.0,0.0,2.03,,6,6,0,17.0,34.5,2.05,2.8,1.0,2.69,2.29,12,12,0,36.0,89.8,2.5,3.4,1.0,,,0,0,0,0.0,0.0,,,,29,28,1,85.0,193.0,2.248,4.0,0.0,5,2.276,3,0,0.0
212170,2.83,105.0,100.0,1,0,,,1.89,2.96,11,11,0,32.0,76.6,2.382,4.0,1.5,2.53,,6,6,0,18.0,45.6,2.533,3.0,2.0,3.26,3.4,12,12,0,36.0,119.9,3.333,4.0,2.6,,,0,0,0,0.0,0.0,,,,29,29,0,86.0,242.1,2.807,4.0,1.5,5,2.808,3,0,0.0
212264,2.13,94.0,70.0,0,0,,,2.61,2.69,13,13,0,35.0,92.8,2.6,4.0,1.5,2.2,,6,6,0,17.0,37.4,2.233,3.0,1.0,1.43,1.68,12,9,3,36.0,56.0,1.558,2.8,0.0,,,0,0,0,0.0,0.0,,,,31,28,3,88.0,186.2,2.126,4.0,0.0,5,2.122,3,0,0.0
212297,2.62,111.0,170.0,0,0,,,2.52,3.0,13,13,0,35.0,96.8,2.769,4.0,2.2,2.29,,6,6,0,17.0,39.0,2.25,2.8,1.5,2.64,2.62,12,12,0,36.0,94.7,2.642,3.4,1.5,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,230.5,2.619,4.0,1.5,5,2.614,3,0,0.0
212417,2.26,101.0,90.0,1,0,,,1.71,2.48,11,11,0,32.0,66.2,2.091,3.7,1.0,2.06,,6,6,0,17.0,35.0,2.067,2.6,1.0,2.69,2.08,12,12,0,36.0,86.0,2.392,3.0,1.0,,,0,0,0,0.0,0.0,,,,29,29,0,85.0,187.2,2.21,3.7,1.0,5,2.204,3,0,0.0
212475,2.73,106.0,70.0,0,0,,,2.01,2.98,13,13,0,35.0,87.9,2.554,3.7,1.5,2.48,,6,6,0,18.0,44.7,2.483,3.0,1.5,2.99,3.04,12,12,0,36.0,108.7,3.025,3.7,2.6,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,241.3,2.723,3.7,1.5,5,2.7,3,0,0.0
212489,2.0,92.0,0.0,3,3,,,2.06,1.73,13,11,2,35.0,66.2,1.831,4.0,0.0,1.42,,6,6,0,18.0,25.5,1.417,2.0,1.0,1.99,2.45,10,10,0,29.0,64.2,2.25,3.2,1.0,,,0,0,0,0.0,0.0,,,,29,27,2,82.0,155.9,1.89,4.0,0.0,5,1.93,3,0,0.0
212712,2.87,106.0,140.0,0,0,,,2.23,2.62,13,13,0,35.0,85.0,2.4,3.7,1.0,2.5,,6,6,0,18.0,45.0,2.5,3.0,2.0,3.33,3.33,12,12,0,36.0,119.9,3.333,4.0,2.6,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,249.9,2.781,4.0,1.0,5,2.802,3,0,0.0
212715,3.0,111.0,170.0,0,0,,,2.21,3.19,13,13,0,35.0,95.0,2.746,3.7,1.5,2.66,,6,6,0,17.0,45.2,2.667,3.2,1.0,3.52,3.13,12,12,0,36.0,119.7,3.325,4.0,2.4,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,259.9,2.955,4.0,1.0,5,2.942,3,0,0.0
212769,2.49,108.0,140.0,1,0,,,1.93,2.78,11,11,0,32.0,74.5,2.336,3.7,1.0,2.67,,6,6,0,17.0,45.4,2.667,2.8,2.4,2.86,2.12,12,12,0,36.0,89.6,2.492,3.4,1.0,,,0,0,0,0.0,0.0,,,,29,29,0,85.0,209.5,2.469,3.7,1.0,5,2.472,3,0,0.0
212852,2.29,101.0,140.0,1,0,,,1.92,2.46,11,10,1,32.0,69.6,2.109,4.0,0.0,1.91,,6,6,0,17.0,32.5,1.95,3.0,1.0,2.34,1.8,12,11,1,36.0,74.6,2.075,3.7,0.0,,,0,0,0,0.0,0.0,,,,29,27,2,85.0,176.7,2.062,4.0,0.0,5,2.086,3,0,0.0
212892,2.28,94.0,120.0,0,0,,,2.09,2.32,13,13,0,35.0,77.4,2.215,3.4,1.0,2.64,,5,5,0,15.0,39.6,2.64,3.0,2.4,2.48,2.08,12,11,1,36.0,82.2,2.292,3.2,0.0,,,0,0,0,0.0,0.0,,,,30,29,1,86.0,199.2,2.317,3.4,0.0,5,2.322,3,0,0.0
212945,2.09,96.0,100.0,1,0,,,1.91,2.28,11,11,0,32.0,66.6,2.109,4.0,1.0,2.08,,7,7,0,18.0,37.4,2.029,2.6,1.0,2.12,1.79,12,11,1,35.0,68.6,1.975,3.0,0.0,,,0,0,0,0.0,0.0,,,,30,29,1,85.0,172.6,2.037,4.0,0.0,5,2.036,3,0,0.0
213006,2.76,102.0,100.0,1,0,,,,,0,0,0,0.0,0.0,,,,2.45,,6,6,0,17.0,41.7,2.45,3.0,1.5,3.13,2.58,12,12,0,36.0,102.8,2.858,3.4,1.5,,,0,0,0,0.0,0.0,,,,18,18,0,53.0,144.5,2.722,3.4,1.5,3,2.72,2,0,0.0
213442,2.44,109.0,190.0,1,0,,,2.18,1.72,12,12,0,32.0,62.9,1.942,3.0,1.0,2.24,,5,5,0,15.0,33.6,2.24,2.6,2.0,2.83,2.92,12,12,0,36.0,103.5,2.883,3.4,2.2,,,0,0,0,0.0,0.0,,,,29,29,0,83.0,200.0,2.383,3.4,1.0,5,2.378,3,0,0.0
213453,2.97,106.0,160.0,0,0,,,2.01,3.13,13,13,0,35.0,90.6,2.608,4.0,1.5,2.75,,6,6,0,18.0,49.5,2.75,3.2,1.5,3.32,3.48,12,12,0,36.0,122.4,3.4,3.7,2.0,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,262.5,2.942,4.0,1.5,5,2.938,3,0,0.0
213517,2.15,94.0,130.0,2,0,,,1.34,2.0,11,8,3,32.0,52.8,1.6,3.7,0.0,2.14,,5,5,0,15.0,32.1,2.14,2.6,1.5,2.28,1.6,12,11,1,36.0,69.9,1.942,2.8,0.0,,,0,0,0,0.0,0.0,,,,28,24,4,83.0,154.8,1.843,3.7,0.0,5,1.872,3,0,0.0
213858,2.46,111.0,100.0,0,0,,,2.25,2.42,13,13,0,35.0,81.8,2.354,4.0,1.0,2.05,,6,6,0,17.0,34.8,2.067,2.6,1.5,2.75,2.46,12,12,0,36.0,93.7,2.617,3.0,2.0,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,210.3,2.4,4.0,1.0,5,2.386,3,0,0.0
213885,2.67,108.0,130.0,0,0,,,2.12,2.87,13,13,0,35.0,87.8,2.508,3.7,1.0,2.26,,5,5,0,14.0,31.6,2.28,3.0,1.0,3.33,2.93,12,12,0,36.0,112.7,3.133,4.0,2.2,,,0,0,0,0.0,0.0,,,,30,30,0,85.0,232.1,2.72,4.0,1.0,5,2.702,3,0,0.0
220006,2.54,106.0,130.0,0,0,,,2.27,1.8,13,11,2,35.0,71.0,1.985,3.4,0.0,1.95,,6,6,0,18.0,35.1,1.95,2.4,1.0,2.92,3.03,12,12,0,36.0,107.0,2.975,3.7,2.4,,,0,0,0,0.0,0.0,,,,31,29,2,89.0,213.1,2.361,3.7,0.0,5,2.394,3,0,0.0
220023,2.53,103.0,130.0,0,0,,,,,0,0,0,0.0,0.0,,,,2.64,,6,6,0,17.0,44.8,2.633,3.0,2.4,2.55,2.66,12,12,0,36.0,93.7,2.608,3.4,1.5,,,0,0,0,0.0,0.0,,,,18,18,0,53.0,138.5,2.617,3.4,1.5,3,2.617,2,0,0.0
220048,2.89,104.0,130.0,0,0,,,2.87,2.64,13,13,0,35.0,96.3,2.7,4.0,1.0,2.8,,6,6,0,18.0,50.4,2.8,3.0,2.4,3.13,2.79,12,12,0,36.0,106.6,2.967,3.4,2.4,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,253.3,2.823,4.0,1.0,5,2.846,3,0,0.0
220049,2.21,100.0,110.0,0,0,,,2.92,2.65,13,13,0,35.0,97.4,2.815,3.7,1.0,2.32,,6,6,0,17.0,39.4,2.333,2.6,2.2,2.15,1.17,12,12,0,36.0,59.7,1.658,2.8,1.0,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,196.5,2.274,3.7,1.0,5,2.242,3,0,0.0
220051,3.18,109.0,130.0,0,0,,,2.79,3.02,13,13,0,35.0,101.9,2.892,4.0,2.0,2.97,,6,6,0,18.0,53.4,2.967,3.4,2.6,3.53,3.5,13,13,0,39.0,137.1,3.515,4.0,3.2,,,0,0,0,0.0,0.0,,,,32,32,0,92.0,292.4,3.159,4.0,2.0,5,3.162,3,0,0.0
220057,1.68,82.0,190.0,1,0,,,2.23,2.08,13,13,0,35.0,75.3,2.131,3.7,1.0,1.98,,6,6,0,17.0,33.6,2.033,3.0,1.0,1.87,0.0,12,5,7,36.0,33.6,0.933,2.8,0.0,,,0,0,0,0.0,0.0,,,,31,24,7,88.0,142.5,1.648,3.7,0.0,5,1.632,3,0,1.0
220060,2.87,103.0,140.0,0,0,,,2.49,2.51,13,13,0,35.0,87.5,2.5,3.7,1.0,2.67,,6,6,0,17.0,45.4,2.667,2.8,2.6,3.17,3.33,12,12,0,36.0,117.0,3.25,4.0,2.4,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,249.9,2.823,4.0,1.0,5,2.834,3,0,0.0
220072,2.83,100.0,100.0,0,0,,,2.34,2.77,13,13,0,35.0,89.5,2.585,4.0,1.0,2.28,,6,5,1,17.0,38.8,2.333,3.2,0.0,2.63,3.5,12,12,0,36.0,110.4,3.067,4.0,1.0,,,0,0,0,0.0,0.0,,,,31,30,1,88.0,238.7,2.723,4.0,0.0,5,2.704,3,0,0.0
220080,2.92,106.0,170.0,0,0,,,2.6,2.64,13,13,0,35.0,91.8,2.562,3.7,1.5,2.43,,6,6,0,18.0,43.8,2.433,3.0,2.0,3.33,3.47,12,12,0,36.0,122.4,3.4,3.7,2.8,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,258.0,2.861,3.7,1.5,5,2.894,3,0,0.0
220090,3.06,105.0,160.0,0,0,,,3.37,3.15,13,13,0,35.0,114.0,3.231,4.0,2.0,2.93,,7,7,0,20.0,58.7,2.929,3.7,2.4,2.91,2.89,13,13,0,38.0,110.1,2.9,3.7,1.5,,,0,0,0,0.0,0.0,,,,33,33,0,93.0,282.8,3.036,4.0,1.5,5,3.05,3,0,0.0
220110,3.22,112.0,130.0,0,0,,,2.99,3.06,14,13,1,38.0,115.2,2.979,3.7,0.0,2.96,,7,7,0,20.0,59.2,2.971,3.4,2.6,3.3,3.27,14,14,0,41.0,134.7,3.286,4.0,2.2,,,0,0,0,0.0,0.0,,,,35,34,1,99.0,309.1,3.1,4.0,0.0,5,3.116,3,0,0.0
220112,3.15,110.0,130.0,0,0,,,2.74,3.23,13,13,0,35.0,104.8,3.0,4.0,2.2,2.97,,6,6,0,18.0,53.4,2.967,3.2,2.6,3.26,3.43,14,14,0,42.0,140.4,3.343,4.0,2.2,,,0,0,0,0.0,0.0,,,,33,33,0,95.0,298.6,3.139,4.0,2.2,5,3.126,3,0,0.0
220123,3.0,106.0,100.0,0,0,,,2.87,2.88,13,13,0,35.0,100.7,2.892,4.0,2.0,2.83,,6,6,0,18.0,51.0,2.833,3.2,2.4,3.18,3.25,12,12,0,36.0,115.8,3.217,3.7,2.8,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,267.5,3.006,4.0,2.0,5,3.002,3,0,0.0
220133,2.79,96.0,60.0,0,0,,,2.91,2.11,13,12,1,35.0,87.5,2.431,3.7,0.0,1.91,,6,5,1,17.0,32.4,1.8,2.4,0.0,3.28,3.6,12,12,0,36.0,123.9,3.442,4.0,3.0,,,0,0,0,0.0,0.0,,,,31,29,2,88.0,243.8,2.7,4.0,0.0,5,2.762,3,0,0.0
220142,2.87,106.0,200.0,0,0,,,2.78,2.74,13,13,0,35.0,96.5,2.738,3.7,1.5,2.37,,6,6,0,18.0,42.6,2.367,2.8,2.0,2.97,3.43,12,12,0,36.0,115.2,3.2,4.0,2.2,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,254.3,2.845,4.0,1.5,5,2.858,3,0,0.0
220162,2.37,111.0,170.0,0,0,,,2.51,2.16,13,13,0,35.0,81.4,2.331,3.7,1.0,2.16,,6,6,0,17.0,36.7,2.15,2.8,1.5,2.73,2.45,12,12,0,36.0,93.3,2.592,3.4,1.5,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,211.4,2.397,3.7,1.0,5,2.402,3,0,0.0
220177,3.41,109.0,140.0,0,0,,,3.18,3.24,14,14,0,38.0,122.2,3.2,4.0,2.4,3.03,,7,7,0,20.0,60.6,3.029,3.4,2.8,3.75,3.7,12,12,0,36.0,134.1,3.725,4.0,3.4,,,0,0,0,0.0,0.0,,,,33,33,0,94.0,316.9,3.355,4.0,2.4,5,3.38,3,0,0.0
220178,2.41,103.0,110.0,2,0,,,1.54,2.42,11,9,2,32.0,62.4,1.891,3.7,0.0,1.95,,6,6,0,18.0,35.1,1.95,2.6,1.0,2.5,2.79,12,12,0,36.0,95.2,2.65,3.4,2.0,,,0,0,0,0.0,0.0,,,,29,27,2,86.0,192.7,2.217,3.7,0.0,5,2.24,3,0,0.0
220179,2.2,96.0,170.0,3,0,,,1.29,2.28,11,9,2,32.0,56.1,1.7,3.4,0.0,1.8,,6,6,0,18.0,32.4,1.8,2.4,1.0,1.97,2.13,12,11,1,36.0,73.7,2.05,3.2,0.0,,,0,0,0,0.0,0.0,,,,29,26,3,86.0,162.2,1.866,3.4,0.0,5,1.894,3,0,0.0
220182,2.07,100.0,70.0,3,0,,,,,0,0,0,0.0,0.0,,,,1.53,,6,6,0,17.0,26.0,1.5,2.0,1.0,2.4,1.83,12,12,0,36.0,76.2,2.125,3.2,1.0,,,0,0,0,0.0,0.0,,,,18,18,0,53.0,102.2,1.917,3.2,1.0,3,1.92,2,0,0.0
220191,3.32,115.0,160.0,0,0,,,2.98,3.23,14,14,0,38.0,118.4,3.114,4.0,2.2,3.05,,7,7,0,20.0,60.9,3.043,3.7,2.4,3.67,3.53,14,14,0,42.0,151.2,3.6,4.0,3.0,,,0,0,0,0.0,0.0,,,,35,35,0,100.0,330.5,3.294,4.0,2.2,5,3.292,3,0,0.0
220192,3.26,106.0,130.0,0,0,,,2.52,3.38,13,13,0,35.0,103.8,2.962,4.0,1.0,3.2,,6,6,0,18.0,57.6,3.2,3.7,2.2,3.47,3.55,12,12,0,36.0,126.3,3.508,4.0,2.8,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,287.7,3.219,4.0,1.0,5,3.224,3,0,0.0
220196,2.23,109.0,130.0,2,0,,,1.9,2.14,11,11,0,32.0,64.4,2.018,3.7,1.0,1.67,,6,6,0,18.0,30.0,1.667,2.0,1.0,2.47,2.5,12,12,0,36.0,89.4,2.483,3.2,1.0,,,0,0,0,0.0,0.0,,,,29,29,0,86.0,183.8,2.138,3.7,1.0,5,2.136,3,0,0.0
220199,2.5,103.0,160.0,0,0,,,2.49,2.97,13,13,0,35.0,95.8,2.723,4.0,2.0,2.15,,6,6,0,18.0,38.7,2.15,2.6,1.5,2.72,2.36,12,12,0,36.0,91.4,2.55,3.2,2.0,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,225.9,2.545,4.0,1.5,5,2.538,3,0,0.0
220212,2.62,106.0,160.0,0,0,,,2.14,2.33,13,13,0,35.0,78.4,2.246,3.2,1.5,2.5,,6,6,0,18.0,45.0,2.5,2.8,2.2,2.97,2.75,12,12,0,36.0,102.9,2.867,4.0,2.4,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,226.3,2.535,4.0,1.5,5,2.538,3,0,0.0
220234,2.4,103.0,100.0,0,0,,,2.04,2.47,13,13,0,35.0,79.1,2.285,4.0,1.0,2.32,,6,6,0,17.0,39.4,2.333,2.8,2.0,2.43,2.6,12,12,0,36.0,90.6,2.525,3.0,1.5,,,0,0,0,0.0,0.0,,,,31,31,0,88.0,209.1,2.387,4.0,1.0,5,2.372,3,0,0.0
220247,2.81,99.0,100.0,0,0,,,2.63,2.69,13,13,0,35.0,93.1,2.685,4.0,1.0,2.4,,6,6,0,16.0,38.4,2.35,3.0,1.5,2.99,3.19,12,12,0,36.0,111.4,3.1,4.0,2.6,,,0,0,0,0.0,0.0,,,,31,31,0,87.0,242.9,2.781,4.0,1.0,5,2.78,3,0,0.0
220259,2.42,90.0,170.0,0,0,,,2.53,2.48,13,13,0,35.0,87.6,2.538,3.2,2.0,2.09,,6,5,1,17.0,35.6,2.1,3.0,0.0,2.56,2.25,11,10,1,33.0,78.9,2.391,3.4,0.0,,,0,0,0,0.0,0.0,,,,30,28,2,85.0,202.1,2.397,3.4,0.0,5,2.382,3,0,0.0
220264,3.22,112.0,160.0,0,0,,,3.25,3.11,14,14,0,38.0,120.5,3.164,4.0,2.2,2.96,,7,7,0,20.0,59.2,2.971,3.4,2.4,3.32,3.4,13,13,0,39.0,131.1,3.362,4.0,2.2,,,0,0,0,0.0,0.0,,,,34,34,0,97.0,310.8,3.2,4.0,2.2,5,3.208,3,0,0.0
220266,2.94,106.0,140.0,0,0,,,2.76,2.83,13,13,0,35.0,97.8,2.8,4.0,1.5,2.77,,6,6,0,18.0,49.8,2.767,3.2,2.2,3.16,2.93,12,12,0,36.0,109.7,3.05,4.0,2.0,,,0,0,0,0.0,0.0,,,,31,31,0,89.0,257.3,2.89,4.0,1.5,5,2.89,3,0,0.0
