student_id,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,military_education,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_credits,year1_points,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_credits,year2_points,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_credits,year3_points,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_credits,year4_points,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,total_credits_all_years,total_points_all_years,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,graduation_status,at_risk
210723,2.25,132.0,100.0,1,0,اجتاز,2.01,1.53,13,11,2,35.0,61.7,1.769,3.0,0.0,2.36,,5,5,0,15.0,35.4,2.36,2.6,2.2,2.76,2.29,12,11,1,36.0,90.9,2.533,3.2,0.0,3.07,2.6,12,9,1,31.0,90.9,2.73,4.0,0.0,42,36,4,117.0,278.9,2.312,4.0,0.0,7,2.374,4,1,level4_non_graduate,1
210749,2.65,135.0,240.0,0,0,اجتاز,2.32,2.83,13,13,0,35.0,90.4,2.623,4.0,2.0,2.32,,6,6,0,18.0,41.7,2.317,2.8,1.5,2.63,2.04,12,11,1,36.0,84.2,2.342,3.4,0.0,2.83,2.85,10,10,0,29.0,82.4,2.84,4.0,2.2,41,40,1,118.0,298.7,2.549,4.0,0.0,7,2.546,4,1,graduate,0
210758,2.81,135.0,240.0,3,0,اجتاز,,,0,0,0,0.0,0.0,,,,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,3.32,2.98,12,12,0,36.0,113.4,3.15,3.7,2.2,3.28,3.35,12,12,0,36.0,119.4,3.317,3.7,2.8,29,29,0,87.0,260.4,2.993,3.7,1.5,5,2.954,3,0,graduate,1
210778,3.16,135.0,160.0,0,0,,2.64,3.22,13,13,0,35.0,102.8,2.954,4.0,2.0,2.8,,6,6,0,18.0,50.4,2.8,3.2,2.4,3.28,3.28,13,13,0,39.0,127.9,3.285,3.7,2.6,3.62,3.32,9,9,0,26.0,90.7,3.478,4.0,2.8,41,41,0,118.0,371.8,3.151,4.0,2.0,7,3.166,4,1,graduate,0
210839,2.46,135.0,240.0,3,3,اجتاز,,,0,0,0,0.0,0.0,,,,1.9,,5,5,0,15.0,28.5,1.9,2.0,1.5,,,0,0,0,0.0,0.0,,,,3.17,2.58,12,12,0,34.0,97.3,2.875,4.0,1.5,17,17,0,49.0,125.8,2.588,4.0,1.5,3,2.55,2,0,graduate,1
210890,2.44,135.0,0.0,1,1,اجتاز,,,0,0,0,0.0,0.0,,,,1.07,,7,5,2,18.0,19.3,1.129,2.4,0.0,2.34,2.11,12,10,2,35.0,78.0,2.233,3.7,0.0,2.81,2.76,11,11,0,32.0,89.3,2.791,3.7,2.0,30,26,4,85.0,186.6,2.18,3.7,0.0,5,2.218,3,0,graduate,1
210914,2.29,135.0,170.0,3,0,اجتاز,1.72,2.53,10,10,0,29.0,59.5,2.07,3.4,1.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,2.4,2.13,12,11,1,36.0,81.5,2.267,3.0,0.0,2.52,2.16,11,11,0,30.0,74.8,2.509,3.7,1.5,39,37,2,113.0,236.8,2.115,3.7,0.0,7,2.09,4,1,graduate,1
210915,2.56,135.0,30.0,2,2,اجتاز,1.25,1.9,11,9,2,29.0,44.1,1.536,2.4,0.0,2.76,,5,5,0,15.0,41.4,2.76,3.0,2.4,,,0,0,0,0.0,0.0,,,,2.69,2.75,13,13,0,36.0,100.8,2.769,4.0,2.0,29,27,2,80.0,186.3,2.3,4.0,0.0,5,2.27,3,0,graduate,1
210955,2.48,135.0,240.0,1,1,اجتاز,1.97,2.28,13,12,1,35.0,74.5,2.115,4.0,0.0,2.6,,6,6,0,18.0,46.8,2.6,3.2,2.0,2.73,1.68,12,11,1,36.0,79.4,2.208,3.4,0.0,3.0,2.26,12,12,0,32.0,88.8,2.8,4.0,2.0,43,41,2,121.0,289.5,2.4,4.0,0.0,7,2.36,4,1,graduate,1
210964,2.51,135.0,100.0,1,1,اجتاز,2.09,2.19,13,13,0,35.0,74.9,2.146,3.2,1.0,1.6,,6,5,1,18.0,28.8,1.6,2.2,0.0,2.73,2.65,12,12,0,36.0,96.9,2.692,3.7,1.5,2.98,2.67,10,10,0,29.0,82.9,2.85,4.0,2.2,41,40,1,118.0,283.5,2.398,4.0,0.0,7,2.416,4,1,graduate,1
211035,2.66,135.0,170.0,0,0,,2.04,3.0,13,13,0,35.0,88.7,2.562,4.0,1.0,1.71,,6,6,0,17.0,29.0,1.667,2.6,1.0,2.55,2.42,12,12,0,36.0,89.5,2.492,3.7,1.0,3.44,3.13,8,8,0,24.0,79.8,3.325,4.0,2.4,39,39,0,112.0,287.0,2.559,4.0,1.0,7,2.613,4,1,graduate,0
211373,2.34,135.0,240.0,2,2,اجتاز,1.32,2.08,12,9,3,32.0,53.6,1.8,3.2,0.0,2.14,,5,5,0,15.0,32.1,2.14,2.8,1.5,2.2,1.68,12,11,1,36.0,69.9,1.942,3.4,0.0,3.05,3.0,10,10,0,29.0,88.0,3.04,4.0,2.6,39,35,4,112.0,243.6,2.205,4.0,0.0,7,2.21,4,1,graduate,1
211411,2.62,135.0,100.0,1,1,اجتاز,1.92,2.12,11,11,0,32.0,64.5,2.045,3.4,1.0,2.5,,6,6,0,18.0,45.0,2.5,3.0,2.0,2.73,2.26,12,12,0,36.0,89.8,2.5,3.0,1.0,3.55,3.2,9,9,0,26.0,89.2,3.422,4.0,2.4,38,38,0,112.0,288.5,2.587,4.0,1.0,7,2.611,4,1,graduate,1
211633,2.48,135.0,130.0,0,0,اجتاز,2.11,2.54,13,13,0,35.0,81.6,2.315,3.2,1.0,2.23,,6,6,0,18.0,40.2,2.233,2.8,1.0,2.54,2.38,12,12,0,36.0,88.7,2.467,3.7,1.5,2.98,2.97,10,10,0,29.0,86.5,2.97,4.0,2.4,41,41,0,118.0,297.0,2.507,4.0,1.0,7,2.536,4,1,graduate,0
211816,2.23,135.0,140.0,3,0,اجتاز,2.11,1.78,13,11,2,35.0,67.9,1.885,3.0,0.0,1.17,,6,5,1,18.0,21.0,1.167,2.0,0.0,1.82,2.15,12,11,1,36.0,71.4,1.983,3.2,0.0,2.88,2.25,9,9,0,27.0,70.2,2.6,4.0,1.0,40,36,4,116.0,230.5,1.967,4.0,0.0,7,2.023,4,1,graduate,1
211930,2.37,135.0,110.0,0,0,اجتاز,2.04,2.46,13,13,0,35.0,78.9,2.285,3.4,1.5,1.98,,6,6,0,17.0,33.6,1.95,3.0,1.5,2.08,2.57,12,12,0,36.0,83.7,2.325,3.2,1.0,2.15,2.8,9,8,1,27.0,67.8,2.511,4.0,0.0,40,39,1,115.0,264.0,2.298,4.0,0.0,7,2.297,4,1,graduate,0
211943,2.42,135.0,240.0,3,0,اجتاز,2.01,1.63,13,12,1,35.0,63.4,1.846,2.8,0.0,1.84,,5,5,0,15.0,27.6,1.84,2.2,1.5,2.63,2.73,11,11,0,33.0,88.6,2.691,3.7,1.5,2.88,2.8,13,13,0,38.0,107.9,2.838,3.7,2.0,42,41,1,121.0,287.5,2.374,3.7,0.0,7,2.36,4,1,graduate,1
212157,2.49,135.0,130.0,1,1,اجتاز,1.57,2.8,11,10,1,32.0,68.7,2.082,4.0,0.0,2.03,,6,6,0,17.0,34.5,2.05,2.8,1.0,2.69,2.29,12,12,0,36.0,89.8,2.5,3.4,1.0,3.03,2.66,11,11,0,31.0,88.5,2.845,4.0,2.2,40,39,1,116.0,281.5,2.413,4.0,0.0,7,2.439,4,1,graduate,1
212170,2.94,135.0,100.0,1,1,اجتاز,1.89,2.96,11,11,0,32.0,76.6,2.382,4.0,1.5,2.53,,6,6,0,18.0,45.6,2.533,3.0,2.0,3.26,3.4,12,12,0,36.0,119.9,3.333,4.0,2.6,3.45,3.17,11,11,0,30.0,100.3,3.345,4.0,2.6,40,40,0,116.0,342.4,2.955,4.0,1.5,7,2.951,4,1,graduate,1
212264,2.13,135.0,70.0,0,0,اجتاز,2.61,2.69,13,13,0,35.0,92.8,2.6,4.0,1.5,2.2,,6,6,0,17.0,37.4,2.233,3.0,1.0,1.43,1.68,12,9,3,36.0,56.0,1.558,2.8,0.0,2.13,2.49,13,12,1,37.0,86.2,2.277,4.0,0.0,44,40,4,125.0,272.4,2.17,4.0,0.0,7,2.176,4,1,graduate,0
212297,2.73,135.0,170.0,0,0,اجتاز,2.52,3.0,13,13,0,35.0,96.8,2.769,4.0,2.2,2.29,,6,6,0,17.0,39.0,2.25,2.8,1.5,2.64,2.62,12,12,0,36.0,94.7,2.642,3.4,1.5,3.32,3.06,8,8,0,24.0,77.4,3.225,4.0,2.6,39,39,0,112.0,307.9,2.744,4.0,1.5,7,2.779,4,1,graduate,0
212417,2.45,135.0,90.0,1,0,اجتاز,1.71,2.48,11,11,0,32.0,66.2,2.091,3.7,1.0,2.06,,6,6,0,17.0,35.0,2.067,2.6,1.0,2.69,2.08,12,12,0,36.0,86.0,2.392,3.0,1.0,2.93,3.08,12,12,0,34.0,102.4,3.0,3.7,2.6,41,41,0,119.0,289.6,2.441,3.7,1.0,7,2.433,4,1,graduate,1
212475,2.82,135.0,240.0,0,0,اجتاز,2.01,2.98,13,13,0,35.0,87.9,2.554,3.7,1.5,2.48,,6,6,0,18.0,44.7,2.483,3.0,1.5,2.99,3.04,12,12,0,36.0,108.7,3.025,3.7,2.6,3.07,3.3,10,10,0,29.0,91.9,3.17,4.0,2.6,41,41,0,118.0,333.2,2.832,4.0,1.5,7,2.839,4,1,graduate,0
212489,2.25,135.0,0.0,3,3,اجتاز,2.06,1.73,13,11,2,35.0,66.2,1.831,4.0,0.0,1.42,,6,6,0,18.0,25.5,1.417,2.0,1.0,1.99,2.45,10,10,0,29.0,64.2,2.25,3.2,1.0,2.54,2.76,13,13,0,35.0,98.5,2.823,3.7,1.5,42,40,2,117.0,254.4,2.179,4.0,0.0,7,2.136,4,1,graduate,1
212615,2.4,135.0,240.0,1,0,اجتاز,1.87,2.01,12,9,3,32.0,62.0,1.958,3.7,0.0,1.76,,6,5,1,17.0,29.9,1.717,2.6,0.0,,,0,0,0,0.0,0.0,,,,2.45,2.63,12,12,0,34.0,91.5,2.708,3.7,1.5,30,26,4,83.0,183.4,2.21,3.7,0.0,5,2.144,3,0,graduate,1
212712,2.98,135.0,140.0,0,0,اجتاز,2.23,2.62,13,13,0,35.0,85.0,2.4,3.7,1.0,2.5,,6,6,0,18.0,45.0,2.5,3.0,2.0,3.33,3.33,12,12,0,36.0,119.9,3.333,4.0,2.6,3.44,3.35,10,10,0,29.0,98.8,3.4,4.0,2.8,41,41,0,118.0,348.7,2.932,4.0,1.0,7,2.971,4,1,graduate,0
212715,3.03,135.0,240.0,0,0,اجتاز,2.21,3.19,13,13,0,35.0,95.0,2.746,3.7,1.5,2.66,,6,6,0,17.0,45.2,2.667,3.2,1.0,3.52,3.13,12,12,0,36.0,119.7,3.325,4.0,2.4,3.25,3.1,8,8,0,24.0,76.2,3.175,4.0,2.2,39,39,0,112.0,336.1,3.0,4.0,1.0,7,3.009,4,1,graduate,0
212769,2.52,135.0,240.0,1,1,اجتاز,1.93,2.78,11,11,0,32.0,74.5,2.336,3.7,1.0,2.67,,6,6,0,17.0,45.4,2.667,2.8,2.4,2.86,2.12,12,12,0,36.0,89.6,2.492,3.4,1.0,2.58,2.8,9,9,0,27.0,72.3,2.678,3.4,1.5,38,38,0,112.0,281.8,2.518,3.7,1.0,7,2.534,4,1,graduate,1
212852,2.46,135.0,240.0,1,1,اجتاز,1.92,2.46,11,10,1,32.0,69.6,2.109,4.0,0.0,1.91,,6,6,0,17.0,32.5,1.95,3.0,1.0,2.34,1.8,12,11,1,36.0,74.6,2.075,3.7,0.0,3.18,2.77,10,10,0,29.0,87.8,3.0,4.0,2.2,39,37,2,114.0,264.5,2.303,4.0,0.0,7,2.34,4,1,graduate,1
212892,2.51,135.0,240.0,0,0,اجتاز,2.09,2.32,13,13,0,35.0,77.4,2.215,3.4,1.0,2.64,,5,5,0,15.0,39.6,2.64,3.0,2.4,2.48,2.08,12,11,1,36.0,82.2,2.292,3.2,0.0,2.76,2.66,12,12,0,35.0,95.0,2.717,4.0,1.5,42,41,1,121.0,294.2,2.431,4.0,0.0,7,2.433,4,1,graduate,0
212945,2.3,135.0,100.0,1,1,اجتاز,1.91,2.28,11,11,0,32.0,66.6,2.109,4.0,1.0,2.08,,7,7,0,18.0,37.4,2.029,2.6,1.0,2.12,1.79,12,11,1,35.0,68.6,1.975,3.0,0.0,2.51,2.73,12,12,0,36.0,94.5,2.625,4.0,1.5,42,41,1,121.0,267.1,2.205,4.0,0.0,7,2.203,4,1,graduate,1
213006,2.86,135.0,240.0,1,1,اجتاز,,,0,0,0,0.0,0.0,,,,2.45,,6,6,0,17.0,41.7,2.45,3.0,1.5,3.13,2.58,12,12,0,36.0,102.8,2.858,3.4,1.5,3.06,3.26,11,11,0,33.0,104.1,3.155,4.0,2.4,29,29,0,86.0,248.6,2.886,4.0,1.5,5,2.896,3,0,graduate,1
213442,2.58,135.0,240.0,1,0,,2.18,1.72,12,12,0,32.0,62.9,1.942,3.0,1.0,2.24,,5,5,0,15.0,33.6,2.24,2.6,2.0,2.83,2.92,12,12,0,36.0,103.5,2.883,3.4,2.2,3.14,3.1,9,6,0,26.0,81.3,3.017,3.7,2.8,38,35,0,109.0,281.3,2.491,3.7,1.0,7,2.59,4,1,graduate,1
213453,3.1,135.0,160.0,0,0,,2.01,3.13,13,13,0,35.0,90.6,2.608,4.0,1.5,2.75,,6,6,0,18.0,49.5,2.75,3.2,1.5,3.32,3.48,12,12,0,36.0,122.4,3.4,3.7,2.0,3.74,3.35,10,10,0,29.0,103.9,3.57,4.0,3.0,41,41,0,118.0,366.4,3.095,4.0,1.5,7,3.111,4,1,graduate,0
213517,2.43,135.0,240.0,2,2,اجتاز,1.34,2.0,11,8,3,32.0,52.8,1.6,3.7,0.0,2.14,,5,5,0,15.0,32.1,2.14,2.6,1.5,2.28,1.6,12,11,1,36.0,69.9,1.942,2.8,0.0,2.9,2.94,13,13,0,35.0,102.3,2.9,4.0,2.2,41,37,4,118.0,257.1,2.178,4.0,0.0,7,2.171,4,1,graduate,1
213858,2.55,135.0,100.0,0,0,,2.25,2.42,13,13,0,35.0,81.8,2.354,4.0,1.0,2.05,,6,6,0,17.0,34.8,2.067,2.6,1.5,2.75,2.46,12,12,0,36.0,93.7,2.617,3.0,2.0,2.96,3.0,8,8,0,24.0,71.4,2.975,4.0,2.2,39,39,0,112.0,281.7,2.518,4.0,1.0,7,2.556,4,1,level4_non_graduate,0
213885,2.73,132.0,240.0,0,0,لم يجتاز,2.12,2.87,13,13,0,35.0,87.8,2.508,3.7,1.0,2.26,,5,5,0,14.0,31.6,2.28,3.0,1.0,3.33,2.93,12,12,0,36.0,112.7,3.133,4.0,2.2,2.8,2.45,10,8,2,27.0,79.8,2.66,4.0,0.0,40,38,2,112.0,311.9,2.705,4.0,0.0,7,2.68,4,1,level4_non_graduate,0
220006,2.64,135.0,130.0,0,0,,2.27,1.8,13,11,2,35.0,71.0,1.985,3.4,0.0,1.95,,6,6,0,18.0,35.1,1.95,2.4,1.0,2.92,3.03,12,12,0,36.0,107.0,2.975,3.7,2.4,3.08,2.9,10,10,0,29.0,87.2,3.0,4.0,2.0,41,39,2,118.0,300.3,2.517,4.0,0.0,7,2.564,4,1,graduate,0
220023,2.66,135.0,130.0,0,0,اجتاز,,,0,0,0,0.0,0.0,,,,2.64,,6,6,0,17.0,44.8,2.633,3.0,2.4,2.55,2.66,12,12,0,36.0,93.7,2.608,3.4,1.5,3.08,3.17,9,9,0,27.0,84.3,3.122,4.0,2.6,27,27,0,80.0,222.8,2.785,4.0,1.5,5,2.82,3,0,graduate,0
220048,2.89,135.0,130.0,0,0,اجتاز,2.87,2.64,13,13,0,35.0,96.3,2.7,4.0,1.0,2.8,,6,6,0,18.0,50.4,2.8,3.0,2.4,3.13,2.79,12,12,0,36.0,106.6,2.967,3.4,2.4,3.12,3.11,11,11,0,31.0,96.7,3.1,4.0,2.6,42,42,0,120.0,350.0,2.895,4.0,1.0,7,2.923,4,1,graduate,0
220049,2.26,135.0,110.0,0,0,اجتاز,2.92,2.65,13,13,0,35.0,97.4,2.815,3.7,1.0,2.32,,6,6,0,17.0,39.4,2.333,2.6,2.2,2.15,1.17,12,12,0,36.0,59.7,1.658,2.8,1.0,2.01,2.09,13,12,1,34.5,80.5,2.215,3.7,0.0,44,43,1,122.5,277.0,2.257,3.7,0.0,7,2.187,4,1,graduate,0
220051,3.26,135.0,240.0,0,0,اجتاز,2.79,3.02,13,13,0,35.0,101.9,2.892,4.0,2.0,2.97,,6,6,0,18.0,53.4,2.967,3.4,2.6,3.53,3.5,13,13,0,39.0,137.1,3.515,4.0,3.2,3.68,3.36,9,9,0,26.0,92.9,3.567,4.0,3.0,41,41,0,118.0,385.3,3.249,4.0,2.0,7,3.264,4,1,graduate,0
220060,2.96,135.0,240.0,0,0,اجتاز,2.49,2.51,13,13,0,35.0,87.5,2.5,3.7,1.0,2.67,,6,6,0,17.0,45.4,2.667,2.8,2.6,3.17,3.33,12,12,0,36.0,117.0,3.25,4.0,2.4,3.45,3.04,11,11,0,32.0,104.3,3.264,4.0,2.2,42,42,0,120.0,354.2,2.938,4.0,1.0,7,2.951,4,1,graduate,0
220072,2.91,135.0,100.0,0,0,اجتاز,2.34,2.77,13,13,0,35.0,89.5,2.585,4.0,1.0,2.28,,6,5,1,17.0,38.8,2.333,3.2,0.0,2.63,3.5,12,12,0,36.0,110.4,3.067,4.0,1.0,3.24,2.92,11,11,0,32.0,98.9,3.082,3.7,2.8,42,41,1,120.0,337.6,2.817,4.0,0.0,7,2.811,4,1,graduate,0
220080,3.04,135.0,240.0,0,0,اجتاز,2.6,2.64,13,13,0,35.0,91.8,2.562,3.7,1.5,2.43,,6,6,0,18.0,43.8,2.433,3.0,2.0,3.33,3.47,12,12,0,36.0,122.4,3.4,3.7,2.8,3.58,3.3,10,10,0,29.0,100.6,3.46,4.0,2.6,41,41,0,118.0,358.6,3.007,4.0,1.5,7,3.05,4,1,graduate,0
220090,3.02,135.0,240.0,0,0,اجتاز,3.37,3.15,13,13,0,35.0,114.0,3.231,4.0,2.0,2.93,,7,7,0,20.0,58.7,2.929,3.7,2.4,2.91,2.89,13,13,0,38.0,110.1,2.9,3.7,1.5,2.92,2.9,9,7,0,25.0,76.6,2.6,4.0,1.0,42,40,0,118.0,359.4,2.96,4.0,1.0,7,3.01,4,1,graduate,0
220105,2.37,135.0,240.0,1,1,اجتاز,1.84,2.2,11,11,0,32.0,64.3,2.009,3.0,1.0,2.24,,7,7,0,18.0,40.3,2.271,2.8,1.5,,,0,0,0,0.0,0.0,,,,3.06,2.35,12,12,0,35.0,95.2,2.7,4.0,1.5,30,30,0,85.0,199.8,2.347,4.0,1.0,5,2.338,3,0,graduate,1
220110,3.2,135.0,130.0,0,0,اجتاز,2.99,3.06,14,13,1,38.0,115.2,2.979,3.7,0.0,2.96,,7,7,0,20.0,59.2,2.971,3.4,2.6,3.3,3.27,14,14,0,41.0,134.7,3.286,4.0,2.2,3.3,2.92,8,8,0,23.0,71.5,3.112,4.0,2.2,43,42,1,122.0,380.6,3.102,4.0,0.0,7,3.114,4,1,graduate,0
220112,3.18,135.0,130.0,0,0,اجتاز,2.74,3.23,13,13,0,35.0,104.8,3.0,4.0,2.2,2.97,,6,6,0,18.0,53.4,2.967,3.2,2.6,3.26,3.43,14,14,0,42.0,140.4,3.343,4.0,2.2,3.35,3.19,9,9,0,25.0,82.1,3.256,4.0,2.4,42,42,0,120.0,380.7,3.164,4.0,2.2,7,3.167,4,1,graduate,0
220123,3.06,135.0,240.0,0,0,اجتاز,2.87,2.88,13,13,0,35.0,100.7,2.892,4.0,2.0,2.83,,6,6,0,18.0,51.0,2.833,3.2,2.4,3.18,3.25,12,12,0,36.0,115.8,3.217,3.7,2.8,3.29,3.22,10,10,0,29.0,94.7,3.25,3.7,2.8,41,41,0,118.0,362.2,3.066,4.0,2.0,7,3.074,4,1,graduate,0
220133,2.85,96.0,60.0,0,0,اجتاز,2.91,2.11,13,12,1,35.0,87.5,2.431,3.7,0.0,1.91,,6,5,1,17.0,32.4,1.8,2.4,0.0,3.28,3.6,12,12,0,36.0,123.9,3.442,4.0,3.0,2.68,3.05,12,10,0,33.0,94.1,2.89,3.7,2.4,43,39,2,121.0,337.9,2.746,4.0,0.0,7,2.791,4,1,level4_non_graduate,0
220142,3.01,135.0,240.0,0,0,,2.78,2.74,13,13,0,35.0,96.5,2.738,3.7,1.5,2.37,,6,6,0,18.0,42.6,2.367,2.8,2.0,2.97,3.43,12,12,0,36.0,115.2,3.2,4.0,2.2,3.6,3.35,10,10,0,29.0,101.5,3.49,4.0,2.8,41,41,0,118.0,355.8,3.002,4.0,1.5,7,3.034,4,1,graduate,0
220162,2.57,135.0,240.0,0,0,,2.51,2.16,13,13,0,35.0,81.4,2.331,3.7,1.0,2.16,,6,6,0,17.0,36.7,2.15,2.8,1.5,2.73,2.45,12,12,0,36.0,93.3,2.592,3.4,1.5,3.2,3.1,10,10,0,30.0,94.8,3.16,4.0,2.4,41,41,0,118.0,306.2,2.583,4.0,1.0,7,2.616,4,1,graduate,0
220177,3.49,135.0,140.0,0,0,,3.18,3.24,14,14,0,38.0,122.2,3.2,4.0,2.4,3.03,,7,7,0,20.0,60.6,3.029,3.4,2.8,3.75,3.7,12,12,0,36.0,134.1,3.725,4.0,3.4,3.85,3.77,9,9,0,26.0,99.2,3.8,4.0,3.4,42,42,0,120.0,416.1,3.45,4.0,2.4,7,3.503,4,1,graduate,0
220178,2.57,135.0,110.0,2,2,اجتاز,1.54,2.42,11,9,2,32.0,62.4,1.891,3.7,0.0,1.95,,6,6,0,18.0,35.1,1.95,2.6,1.0,2.5,2.79,12,12,0,36.0,95.2,2.65,3.4,2.0,3.26,2.88,12,12,0,32.0,99.1,3.092,3.7,2.6,41,39,2,118.0,291.8,2.473,3.7,0.0,7,2.477,4,1,graduate,1
220179,2.34,135.0,240.0,3,3,اجتاز,1.29,2.28,11,9,2,32.0,56.1,1.7,3.4,0.0,1.8,,6,6,0,18.0,32.4,1.8,2.4,1.0,1.97,2.13,12,11,1,36.0,73.7,2.05,3.2,0.0,2.53,2.3,11,11,0,29.0,77.8,2.691,3.7,1.5,40,37,3,115.0,240.0,2.093,3.7,0.0,7,2.043,4,1,graduate,1
